MSFT_Date,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,AMZN_Date,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,META_Date,META_Open,META_High,META_Low,META_Close,META_Adj Close,META_Volume,GOOG_Date,GOOG_Open,GOOG_High,GOOG_Low,GOOG_Close,GOOG_Adj Close,GOOG_Volume,AAPL_Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume
11/23/21,337.049988,339.450012,333.559998,337.679993,335.488068,30427600,11/23/21,179.251999,181.052505,176.385498,179.001999,179.001999,73804000,11/23/21,338.929993,341.399994,333.5,337.25,337.25,17225000,11/23/21,147.113007,147.694,144.889496,146.757004,146.757004,18126000,11/23/21,161.119995,161.800003,159.059998,161.410004,160.478638,96041900
11/24/21,336.279999,338.160004,333.910004,337.910004,335.716553,21661300,11/24/21,178.133499,180.682007,176.842499,179.020493,179.020493,46560000,11/24/21,336,341.779999,332.809998,341.059998,341.059998,13566200,11/24/21,146.350006,147,145.199005,146.717499,146.717499,16464000,11/24/21,160.75,162.139999,159.639999,161.940002,161.005554,69463600
11/26/21,334.350006,337.929993,328.119995,329.679993,327.539978,24217200,11/26/21,180.104996,181.675003,175.207504,175.227997,175.227997,59826000,11/26/21,335.799988,337.75,331.899994,333.119995,333.119995,14750700,11/26/21,145.015503,145.296997,142.485504,142.806,142.806,16992000,11/26/21,159.570007,160.449997,156.360001,156.809998,155.905167,76959800
11/29/21,334.940002,339.029999,334.73999,336.630005,334.444885,28563500,11/29/21,177.382004,179.800003,176.574997,178.078506,178.078506,65312000,11/29/21,336.890015,340.670013,335.309998,338.029999,338.029999,16650900,11/29/21,144.298492,146.862,144.298492,146.113998,146.113998,26276000,11/29/21,159.369995,161.190002,158.789993,160.240005,159.315369,88748200
11/30/21,335.320007,337.779999,328.98999,330.589996,328.444061,42885600,11/30/21,178.175003,179.288498,174.600494,175.3535,175.3535,80022000,11/30/21,335,335.809998,323.429993,324.459991,324.459991,25390000,11/30/21,145.450256,146.628494,142.065994,142.451996,142.451996,41590000,11/30/21,159.990005,165.520004,159.919998,165.300003,164.346176,174048100
12/1/21,335.130005,339.279999,329.390015,330.079987,327.937408,33337600,12/1/21,177.25,177.994003,172.080002,172.186005,172.186005,74916000,12/1/21,330.290009,330.5,310.290009,310.600006,310.600006,30329600,12/1/21,144.212494,146.499146,141.5,141.617996,141.617996,28476000,12/1/21,167.479996,170.300003,164.529999,164.770004,163.819229,152052500
12/2/21,330.299988,333.48999,327.799988,329.48999,327.351227,30766000,12/2/21,173,174.634995,171.1875,171.867996,171.867996,64726000,12/2/21,311.399994,314.600006,307.200012,310.390015,310.390015,24396200,12/2/21,141.824005,144.675003,140.981995,143.776505,143.776505,21250000,12/2/21,158.740005,164.199997,157.800003,163.759995,162.815063,136739200
12/3/21,331.98999,332.700012,318.029999,323.01001,320.9133,41779300,12/3/21,172.75,173.4935,166.929993,169.489502,169.489502,80712000,12/3/21,313.730011,313.75,299.5,306.839996,306.839996,27471000,12/3/21,144.495499,145.212997,141.149994,142.520493,142.520493,26688000,12/3/21,164.020004,164.960007,159.720001,161.839996,160.906143,118023100
12/6/21,323.950012,327.450012,319.230011,326.190002,324.072662,30032600,12/6/21,169.649994,173.695496,166.934494,171.3685,171.3685,68860000,12/6/21,308.130005,320.100006,306.339996,317.869995,317.869995,21758300,12/6/21,143.574005,144.351501,140.647003,143.796494,143.796494,22198000,12/6/21,164.289993,167.880005,164.279999,165.320007,164.366058,107497000
12/7/21,331.640015,335.799988,330.100006,334.920013,332.745972,31021900,12/7/21,174.600006,177.499496,173.334503,176.164505,176.164505,66410000,12/7/21,321.570007,326.540009,321,322.809998,322.809998,18794000,12/7/21,145.949997,148.300003,145.702499,148.036499,148.036499,23258000,12/7/21,169.080002,171.580002,168.339996,171.179993,170.192245,120405400
